id,equipment_type,equipment_id,location,complaint,symptoms,diagnosis,root_cause,recommended_fix,estimated_cost,repair_time,urgency,technician_type,date,technician_notes,status
1061,Electrical Panel,EP-023,Engineering Block LT Room,Smell of burning insulation and humming sound coming from main electrical distribution board.,"Pungent ozone/burning plastic smell, audible 50Hz arcing hum, warm panel exterior",Loose terminal lug on R-phase 200A MCCB busbar connection causing thermal hot-spot,Thermal cycling loosening bolted terminal connection leading to high contact resistance,"De-energize panel, re-crimp burned lug, torque all busbar connections, apply torque seal",3200,2.5,Critical,Senior Electrical Engineer,2026-02-13,Thermographic scan verified: Hot spot reduced from 112°C to 38°C under load.,Resolved
1062,Electrical Panel,EP-040,Hostel Main DB,Smell of burning insulation and humming sound coming from main electrical distribution board.,"Pungent ozone/burning plastic smell, audible 50Hz arcing hum, warm panel exterior",Loose terminal lug on R-phase 200A MCCB busbar connection causing thermal hot-spot,Thermal cycling loosening bolted terminal connection leading to high contact resistance,"De-energize panel, re-crimp burned lug, torque all busbar connections, apply torque seal",3150,2.8,Critical,Senior Electrical Engineer,2026-04-11,Thermographic scan verified: Hot spot reduced from 112°C to 38°C under load.,Preventive Maintenance Completed
1063,Electrical Panel,EP-027,Auditorium Main Switchboard,Smell of burning insulation and humming sound coming from main electrical distribution board.,"Pungent ozone/burning plastic smell, audible 50Hz arcing hum, warm panel exterior",Loose terminal lug on R-phase 200A MCCB busbar connection causing thermal hot-spot,Thermal cycling loosening bolted terminal connection leading to high contact resistance,"De-energize panel, re-crimp burned lug, torque all busbar connections, apply torque seal",2900,2.6,Critical,Senior Electrical Engineer,2026-08-22,Thermographic scan verified: Hot spot reduced from 112°C to 38°C under load.,Resolved
1064,CCTV Camera,CAM-018,Library Entrance,Camera video feed showing black screen at night and washed-out glare during day.,"Night vision infrared failed, pinkish hue in daylight, camera online on network",IR cut filter mechanical solenoid stuck in day position,Moisture ingress jamming delicate mechanical filter shift shutter,"Disassemble camera housing, replace silica desiccant, clean filter solenoid track",1600,1.4,Low,Security Systems Technician,2026-04-06,Resealed camera housing with IP67 silicone gasket. Day/night switching verified.,Resolved
1065,CCTV Camera,CAM-031,Campus Main Gate,Camera video feed showing black screen at night and washed-out glare during day.,"Night vision infrared failed, pinkish hue in daylight, camera online on network",IR cut filter mechanical solenoid stuck in day position,Moisture ingress jamming delicate mechanical filter shift shutter,"Disassemble camera housing, replace silica desiccant, clean filter solenoid track",1000,1.4,Low,Security Systems Technician,2026-02-01,Resealed camera housing with IP67 silicone gasket. Day/night switching verified.,Resolved
1066,CCTV Camera,CAM-015,Parking Lot North,Camera video feed showing black screen at night and washed-out glare during day.,"Night vision infrared failed, pinkish hue in daylight, camera online on network",IR cut filter mechanical solenoid stuck in day position,Moisture ingress jamming delicate mechanical filter shift shutter,"Disassemble camera housing, replace silica desiccant, clean filter solenoid track",800,1.3,Low,Security Systems Technician,2026-01-31,Resealed camera housing with IP67 silicone gasket. Day/night switching verified.,Resolved
1067,Network Switch,SW-018,IT Rack - Floor 2,Entire department experiencing intermittent Wi-Fi drops and packet loss.,"High latency ping spikes, PoE access points rebooting, switch status LED amber",PoE power supply unit over-temperature shutdown due to internal fan dust lock,Blocked exhaust vent on 48-port PoE switch causing PSU thermal protection trip,"Clean rack dust filters, replace switch chassis fan, rebalance PoE power budget",2800,1.5,High,Network Administrator,2025-09-22,Switch firmware updated and internal temperature dropped from 68°C to 41°C.,Resolved
1068,Network Switch,SW-002,Admin Switch Closet,Entire department experiencing intermittent Wi-Fi drops and packet loss.,"High latency ping spikes, PoE access points rebooting, switch status LED amber",PoE power supply unit over-temperature shutdown due to internal fan dust lock,Blocked exhaust vent on 48-port PoE switch causing PSU thermal protection trip,"Clean rack dust filters, replace switch chassis fan, rebalance PoE power budget",2000,1.2,High,Network Administrator,2026-05-21,Switch firmware updated and internal temperature dropped from 68°C to 41°C.,Preventive Maintenance Completed
1069,Network Switch,SW-003,Admin Switch Closet,Entire department experiencing intermittent Wi-Fi drops and packet loss.,"High latency ping spikes, PoE access points rebooting, switch status LED amber",PoE power supply unit over-temperature shutdown due to internal fan dust lock,Blocked exhaust vent on 48-port PoE switch causing PSU thermal protection trip,"Clean rack dust filters, replace switch chassis fan, rebalance PoE power budget",2700,1.4,High,Network Administrator,2026-05-28,Switch firmware updated and internal temperature dropped from 68°C to 41°C.,Resolved
1070,Air Conditioner,AC-039,Seminar Hall,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",1700,1.9,Medium,HVAC Specialist,2025-04-11,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Resolved
1071,Air Conditioner,AC-003,Admin Block - Room 102,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",1500,2.0,Medium,HVAC Specialist,2025-06-27,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Verified & Closed
1072,Air Conditioner,AC-024,Server Room A,AC is not cooling properly and is making a loud rattling noise.,"Insufficient cooling, abnormal rattling sound from indoor unit, low airflow",Blower fan motor bearing wear and dust accumulation on evaporator coil,Restricted airflow due to heavy dust accumulation and fan motor bearing degradation,"Clean indoor evaporator coil, inspect blower fan assembly, lubricate/replace bearings",1600,2.4,Medium,HVAC Specialist,2025-07-02,"Coil cleaned with chemical wash, blower fan aligned and balanced. Cooling restored to 18°C.",Verified & Closed
1073,Air Conditioner,AC-043,Library 2nd Floor,AC tripping the circuit breaker immediately after turning on compressor.,"Power trip on startup, compressor buzzing sound, no cold air",Compressor run capacitor blown and high starting current,Degraded 45uF starting capacitor causing compressor rotor lock and breaker trip,Replace dual run/start capacitor (45+5 uF) and test compressor winding resistance,1800,1.3,High,HVAC Specialist,2026-05-12,Capacitor replaced. Startup current measured at 9.2A (within safe limit).,Resolved
1074,Air Conditioner,AC-026,Library 2nd Floor,AC tripping the circuit breaker immediately after turning on compressor.,"Power trip on startup, compressor buzzing sound, no cold air",Compressor run capacitor blown and high starting current,Degraded 45uF starting capacitor causing compressor rotor lock and breaker trip,Replace dual run/start capacitor (45+5 uF) and test compressor winding resistance,2300,1.1,High,HVAC Specialist,2025-11-18,Capacitor replaced. Startup current measured at 9.2A (within safe limit).,Resolved
1075,Air Conditioner,AC-044,Seminar Hall,AC tripping the circuit breaker immediately after turning on compressor.,"Power trip on startup, compressor buzzing sound, no cold air",Compressor run capacitor blown and high starting current,Degraded 45uF starting capacitor causing compressor rotor lock and breaker trip,Replace dual run/start capacitor (45+5 uF) and test compressor winding resistance,2450,1.3,High,HVAC Specialist,2026-03-22,Capacitor replaced. Startup current measured at 9.2A (within safe limit).,Resolved
1076,Air Conditioner,AC-020,Computer Lab 1,AC tripping the circuit breaker immediately after turning on compressor.,"Power trip on startup, compressor buzzing sound, no cold air",Compressor run capacitor blown and high starting current,Degraded 45uF starting capacitor causing compressor rotor lock and breaker trip,Replace dual run/start capacitor (45+5 uF) and test compressor winding resistance,1600,1.2,High,HVAC Specialist,2025-11-27,Capacitor replaced. Startup current measured at 9.2A (within safe limit).,Resolved
1077,Air Conditioner,AC-030,Library 2nd Floor,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1250,1.1,Medium,AC Technician,2025-06-21,Flushed drain pipe. Water drain slope verified with 2L flush test.,Resolved
1078,Air Conditioner,AC-043,Computer Lab 3,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1050,1.0,Medium,AC Technician,2026-06-22,Flushed drain pipe. Water drain slope verified with 2L flush test.,Resolved
1079,Air Conditioner,AC-006,Library 2nd Floor,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1450,0.9,Medium,AC Technician,2026-01-19,Flushed drain pipe. Water drain slope verified with 2L flush test.,Verified & Closed
1080,Air Conditioner,AC-002,Computer Lab 3,Water leaking continuously from the indoor split AC unit inside lab.,"Water dripping down classroom wall, ice forming on indoor coil",Clogged condensate drain pipe and dirty filter mesh,Algae and dust blockage in drain tray outlet causing overflow,"Clear condensate drain line with nitrogen blow, clean drain pan and filters",1050,1.2,Medium,AC Technician,2026-07-31,Flushed drain pipe. Water drain slope verified with 2L flush test.,Resolved
1081,Air Conditioner,AC-027,Faculty Lounge,"AC blowing warm air, outdoor unit fan running but compressor silent.","Warm air discharge, outdoor condenser fan active, no cooling effect",Refrigerant R-410A low pressure leak at flare nut connection,Vibration-induced micro-crack in suction line flare joint resulting in gas leakage,"Perform nitrogen pressure leak test, re-flare joint, vacuum system and recharge R-410A",5050,3.2,High,Senior HVAC Technician,2026-03-01,Leak sealed at flare connection. Gas charged to 125 PSI. Delta-T across coil is 14°C.,Resolved
1082,Air Conditioner,AC-007,Computer Lab 1,"AC blowing warm air, outdoor unit fan running but compressor silent.","Warm air discharge, outdoor condenser fan active, no cooling effect",Refrigerant R-410A low pressure leak at flare nut connection,Vibration-induced micro-crack in suction line flare joint resulting in gas leakage,"Perform nitrogen pressure leak test, re-flare joint, vacuum system and recharge R-410A",4350,2.8,High,Senior HVAC Technician,2025-07-08,Leak sealed at flare connection. Gas charged to 125 PSI. Delta-T across coil is 14°C.,Preventive Maintenance Completed
1083,Air Conditioner,AC-004,Faculty Lounge,AC display showing error code E4 and shutting down within 5 minutes.,"Error code E4 on panel, unexpected thermal shutdown, intermittent cooling",Room ambient temperature sensor open circuit / resistance drift,Corroded NTC thermistor sensor lead due to ambient humidity,Replace 10k NTC copper coil and ambient temperature thermistor harness,1750,0.6,Low,AC Technician,2026-01-04,New NTC sensor calibrated and sealed with heat shrink.,Resolved
1084,Air Conditioner,AC-043,Faculty Lounge,AC display showing error code E4 and shutting down within 5 minutes.,"Error code E4 on panel, unexpected thermal shutdown, intermittent cooling",Room ambient temperature sensor open circuit / resistance drift,Corroded NTC thermistor sensor lead due to ambient humidity,Replace 10k NTC copper coil and ambient temperature thermistor harness,1650,0.9,Low,AC Technician,2025-10-27,New NTC sensor calibrated and sealed with heat shrink.,Resolved
1085,Air Conditioner,AC-028,Chemistry Lab,AC display showing error code E4 and shutting down within 5 minutes.,"Error code E4 on panel, unexpected thermal shutdown, intermittent cooling",Room ambient temperature sensor open circuit / resistance drift,Corroded NTC thermistor sensor lead due to ambient humidity,Replace 10k NTC copper coil and ambient temperature thermistor harness,1050,0.9,Low,AC Technician,2025-06-17,New NTC sensor calibrated and sealed with heat shrink.,Resolved
1086,Air Conditioner,AC-016,Admin Block - Room 102,AC display showing error code E4 and shutting down within 5 minutes.,"Error code E4 on panel, unexpected thermal shutdown, intermittent cooling",Room ambient temperature sensor open circuit / resistance drift,Corroded NTC thermistor sensor lead due to ambient humidity,Replace 10k NTC copper coil and ambient temperature thermistor harness,1650,0.9,Low,AC Technician,2025-12-07,New NTC sensor calibrated and sealed with heat shrink.,Resolved
1087,Diesel Generator,DG-029,Hostel Block C Yard,Diesel Generator fails to crank or start during main grid power outage.,"Clicking starter solenoid sound, instrument cluster dimming, engine not rotating",Lead-acid starter battery pack deep discharge and terminal sulfation,Faulty float trickle battery charger failing to maintain 24V DC auxiliary bus,"Clean battery terminals, replace battery charger unit, jump-start and load-test battery bank",7400,1.9,Critical,Power Systems Engineer,2026-06-29,Battery bank reconditioned. New 24V smart float charger installed. Cranking voltage tested at 22.8V.,Resolved
1088,Diesel Generator,DG-035,Hostel Block C Yard,Diesel Generator fails to crank or start during main grid power outage.,"Clicking starter solenoid sound, instrument cluster dimming, engine not rotating",Lead-acid starter battery pack deep discharge and terminal sulfation,Faulty float trickle battery charger failing to maintain 24V DC auxiliary bus,"Clean battery terminals, replace battery charger unit, jump-start and load-test battery bank",5050,1.7,Critical,Power Systems Engineer,2026-06-26,Battery bank reconditioned. New 24V smart float charger installed. Cranking voltage tested at 22.8V.,Resolved
1089,Diesel Generator,DG-005,Science Block Basement,Generator starting but shutting down after 30 seconds with Over-Frequency alarm.,"Engine hunting/surging, erratic RPM, automatic trip on governing fault",Mechanical governor linkage sticking and fuel injection pump air lock,Contaminated diesel with particulate buildup in primary fuel filter and sticking governor spring,"Bleed fuel line, replace primary/secondary fuel filters, lubricate actuator linkage",4850,2.5,High,Diesel Mechanic,2025-07-19,Fuel filters replaced. Governor response tested at 50Hz under 60% step load.,Resolved
1090,Diesel Generator,DG-014,Power Substation Yard,Generator starting but shutting down after 30 seconds with Over-Frequency alarm.,"Engine hunting/surging, erratic RPM, automatic trip on governing fault",Mechanical governor linkage sticking and fuel injection pump air lock,Contaminated diesel with particulate buildup in primary fuel filter and sticking governor spring,"Bleed fuel line, replace primary/secondary fuel filters, lubricate actuator linkage",4750,3.4,High,Diesel Mechanic,2025-07-13,Fuel filters replaced. Governor response tested at 50Hz under 60% step load.,Resolved
1091,Diesel Generator,DG-037,Power Substation Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",4750,1.5,High,Mechanical Technician,2025-08-23,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Resolved
1092,Diesel Generator,DG-027,Hospital Backup Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",4750,1.7,High,Mechanical Technician,2026-02-03,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Resolved
1093,Diesel Generator,DG-025,Power Substation Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",4450,2.2,High,Mechanical Technician,2025-10-07,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Verified & Closed
1094,Diesel Generator,DG-040,Science Block Basement,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",4400,2.1,High,Mechanical Technician,2026-08-20,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Resolved
1095,Elevator,LIFT-009,Library Central,Elevator doors repeatedly closing and reopening without passenger obstruction.,"Door cycle looping 4-5 times at Floor 2, door motor straining, buzzer sounding",Infrared door safety light curtain sensor misalignment and optical lens smudge,Dust coating on lower infrared emitter diodes causing false beam interruption trigger,"Clean optical lenses, align transmitter and receiver strips, calibrate sensitivity",1550,1.1,High,Elevator Specialist,2025-06-01,Photocell curtain realigned and tested across all 128 beams.,Resolved
1096,Elevator,LIFT-030,Admin Tower,Elevator doors repeatedly closing and reopening without passenger obstruction.,"Door cycle looping 4-5 times at Floor 2, door motor straining, buzzer sounding",Infrared door safety light curtain sensor misalignment and optical lens smudge,Dust coating on lower infrared emitter diodes causing false beam interruption trigger,"Clean optical lenses, align transmitter and receiver strips, calibrate sensitivity",1850,1.8,High,Elevator Specialist,2025-10-17,Photocell curtain realigned and tested across all 128 beams.,Resolved
1097,Elevator,LIFT-006,Hostel Block 1,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",4050,3.6,High,Senior Lift Engineer,2025-05-23,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1098,Elevator,LIFT-015,Hostel Block 1,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",7150,3.9,High,Senior Lift Engineer,2026-07-08,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1099,Elevator,LIFT-016,Academic Block A - Core,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",7400,2.5,High,Senior Lift Engineer,2026-02-24,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1100,Elevator,LIFT-043,Library Central,Elevator stopping 2 inches below floor level at Ground Floor.,"Floor leveling discrepancy, trip hazard step, floor position reset required",Magnetic floor vane reader sensor bracket loose,Loose mounting bolt on shaft leveling sensor causing delayed trigger signal,Tighten and recalibrate floor leveling magnets and shaft position encoder,2950,2.4,Critical,Elevator Specialist,2026-05-22,Sensor repositioned with threadlocker. Leveling precision ±3mm achieved.,Resolved
1101,Elevator,LIFT-024,Hostel Block 1,Elevator stopping 2 inches below floor level at Ground Floor.,"Floor leveling discrepancy, trip hazard step, floor position reset required",Magnetic floor vane reader sensor bracket loose,Loose mounting bolt on shaft leveling sensor causing delayed trigger signal,Tighten and recalibrate floor leveling magnets and shaft position encoder,3000,2.1,Critical,Elevator Specialist,2026-03-29,Sensor repositioned with threadlocker. Leveling precision ±3mm achieved.,Resolved
1102,Water Pump,WP-020,Hostel Water Treatment Plant,Water pump running continuously but delivering very low water pressure to top floors.,"Pump motor humming loudly, zero pressure gauge reading, air in pipeline",Suction foot valve stuck partially open and suction line priming lost,Debris lodged in brass foot valve disc preventing positive prime holding,"Dismantle foot valve, clear silt debris, re-prime suction manifold and replace gasket",2650,1.5,High,Plumber & Pump Specialist,2026-05-29,Foot valve replaced with stainless steel mesh strainer. Priming restored.,Resolved
1103,Water Pump,WP-026,Cafeteria Utility Area,Water pump running continuously but delivering very low water pressure to top floors.,"Pump motor humming loudly, zero pressure gauge reading, air in pipeline",Suction foot valve stuck partially open and suction line priming lost,Debris lodged in brass foot valve disc preventing positive prime holding,"Dismantle foot valve, clear silt debris, re-prime suction manifold and replace gasket",1650,2.1,High,Plumber & Pump Specialist,2026-02-25,Foot valve replaced with stainless steel mesh strainer. Priming restored.,Verified & Closed
1104,Water Pump,WP-045,Main Overhead Tank Sub-station,Water leaking heavily from pump shaft seal and motor tripping on thermal relay.,"Water puddle around pump base, motor casing hot to touch, breaker tripping",Mechanical shaft seal face cracked and motor bearing water ingress,Dry running of pump causing ceramic-carbon seal face thermal shock,"Replace mechanical ceramic seal, repack shaft gland, test motor dry-run sensor",4500,3.0,High,Pump Technician,2025-11-12,Replaced mechanical seal and fitted dry-run float switch protector.,Verified & Closed
1105,Water Pump,WP-023,Main Overhead Tank Sub-station,Water leaking heavily from pump shaft seal and motor tripping on thermal relay.,"Water puddle around pump base, motor casing hot to touch, breaker tripping",Mechanical shaft seal face cracked and motor bearing water ingress,Dry running of pump causing ceramic-carbon seal face thermal shock,"Replace mechanical ceramic seal, repack shaft gland, test motor dry-run sensor",4150,2.6,High,Pump Technician,2025-07-05,Replaced mechanical seal and fitted dry-run float switch protector.,Resolved
1106,Classroom Projector,PRJ-027,Lecture Hall 101,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",700,0.7,Medium,AV Technician,2025-05-03,Filter washed and dried. Thermal sensor readings normalized.,Resolved
1107,Classroom Projector,PRJ-010,Auditorium Main,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",750,0.9,Medium,AV Technician,2025-06-28,Filter washed and dried. Thermal sensor readings normalized.,Preventive Maintenance Completed
1108,Classroom Projector,PRJ-040,Seminar Room B,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",1050,0.7,Medium,AV Technician,2025-05-09,Filter washed and dried. Thermal sensor readings normalized.,Resolved
1109,Classroom Projector,PRJ-016,Seminar Room B,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,1050,0.9,Medium,AV Technician,2026-06-20,Replaced wall socket module with reinforced metal pass-through.,Resolved
1110,Classroom Projector,PRJ-037,Auditorium Main,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,1100,0.5,Medium,AV Technician,2025-08-24,Replaced wall socket module with reinforced metal pass-through.,Verified & Closed
1111,Classroom Projector,PRJ-032,Lecture Hall 204,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,1150,0.9,Medium,AV Technician,2026-02-11,Replaced wall socket module with reinforced metal pass-through.,Resolved
1112,Classroom Projector,PRJ-036,Seminar Room B,Projector image shows severe yellow discoloration and flickering color band.,"Distorted color matrix, flickering tint, faint grinding sound from optical chamber",DLP color wheel indexing sensor dirty / motor bearing seizure,Dust layer on color wheel optical optocoupler sensor disc,Clean optical color wheel sensor with isopropanol and realign optical path,2850,2.4,Medium,Senior AV Specialist,2026-09-06,Color wheel cleaned. RGB calibration completed with test pattern.,Resolved
1113,Classroom Projector,PRJ-032,Auditorium Main,Projector image shows severe yellow discoloration and flickering color band.,"Distorted color matrix, flickering tint, faint grinding sound from optical chamber",DLP color wheel indexing sensor dirty / motor bearing seizure,Dust layer on color wheel optical optocoupler sensor disc,Clean optical color wheel sensor with isopropanol and realign optical path,3200,2.0,Medium,Senior AV Specialist,2026-01-13,Color wheel cleaned. RGB calibration completed with test pattern.,Resolved
1114,Classroom Projector,PRJ-002,Auditorium Main,Projector image shows severe yellow discoloration and flickering color band.,"Distorted color matrix, flickering tint, faint grinding sound from optical chamber",DLP color wheel indexing sensor dirty / motor bearing seizure,Dust layer on color wheel optical optocoupler sensor disc,Clean optical color wheel sensor with isopropanol and realign optical path,2400,1.7,Medium,Senior AV Specialist,2026-06-13,Color wheel cleaned. RGB calibration completed with test pattern.,Resolved
1115,Classroom Projector,PRJ-043,Seminar Room B,Projector image shows severe yellow discoloration and flickering color band.,"Distorted color matrix, flickering tint, faint grinding sound from optical chamber",DLP color wheel indexing sensor dirty / motor bearing seizure,Dust layer on color wheel optical optocoupler sensor disc,Clean optical color wheel sensor with isopropanol and realign optical path,2750,2.1,Medium,Senior AV Specialist,2025-09-04,Color wheel cleaned. RGB calibration completed with test pattern.,Resolved
1116,UPS System,UPS-022,Hospital ICU Utility,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",11750,2.2,High,Power Electronics Technician,2025-09-21,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Resolved
1117,UPS System,UPS-008,Biotech Lab Annex,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",8550,1.7,High,Power Electronics Technician,2026-03-03,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Resolved
1118,UPS System,UPS-013,Biotech Lab Annex,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",12050,2.2,High,Power Electronics Technician,2026-02-07,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Resolved
1119,UPS System,UPS-039,Hospital ICU Utility,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",6800,2.7,High,Power Electronics Technician,2025-12-01,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Resolved
1120,UPS System,UPS-020,Biotech Lab Annex,UPS switching automatically to Static Bypass mode with Overload error.,"Bypass LED active, inverter offline, cooling fans operating at maximum RPM",Inverter DC-AC bridge heat-sink thermal sensor triggering due to fan failure,Exhaust fan 1 seized up with dust ball causing IGBT heatsink to reach 85°C,"Replace 120mm 24V DC ball bearing exhaust fan, clean heatsink, reset bypass alarm",2450,1.1,High,UPS Engineer,2026-09-02,Replaced cooling fans. UPS transferred back to online inverter mode.,Resolved
1121,UPS System,UPS-036,Main Datacenter,UPS switching automatically to Static Bypass mode with Overload error.,"Bypass LED active, inverter offline, cooling fans operating at maximum RPM",Inverter DC-AC bridge heat-sink thermal sensor triggering due to fan failure,Exhaust fan 1 seized up with dust ball causing IGBT heatsink to reach 85°C,"Replace 120mm 24V DC ball bearing exhaust fan, clean heatsink, reset bypass alarm",1650,1.3,High,UPS Engineer,2025-11-21,Replaced cooling fans. UPS transferred back to online inverter mode.,Verified & Closed
